Name,Address/Phone,CBE#,Certification Categories,Email Address (Public Contact),Expiration Date,Public Contact Name/Phone,Address,AddwUnit,issuite
"Baker DC, LLC","1110 VERMONT AVENUE NW, SUITE 850, WASHINGTON, DC / 2024613350",L57452032014,LBE,HardestyF@BakerDC.com,3/16/2014,Frank Hardesty / 2024613350,1110 VERMONT AV NW,1110 VERMONT AV NW 850,Y
Banner Staffing,"1025 CONNECTICUT AVENUE NW, 211, WASHINGTON, DC / 2022233300",LSD7015042013,"DBE, SBE, LBE",sales@bannerstaffing.net,4/8/2013,Ramon Diaz / 2022233300,1025 CONNECTICUT AV NW,1025 CONNECTICUT AV NW 211,Y
Barbara J Architectural Sales LLC,"2700 Q STREET NW, Suite 309, WASHINGTON, DC / 2025588676",LS87649092013,"SBE, LBE",barbarajsales@verizon.net,9/30/2013,Barbara Smith / 2025588676,2700 Q ST NW,2700 Q ST NW 309,Y
"Barrington Associates, Inc.","4201 CONNECTICUT AVENUE NW, Suite 404, WASHINGTON, DC / 2023640024",LSR99752092013,"ROB, SBE, LBE",jlwilliams@barrington-associates.com,9/23/2013,Joanne Williams / 2023640024,4201 CONNECTICUT AV NW,4201 CONNECTICUT AV NW 404,Y
BASS & TRABLE,"2034 WEST VIRGINIA AVENUE NE, , WASHINGTON, DC / 2024842600",LSDZ58155082014,"DZE, DBE, SBE, LBE",bassandtreble@aol.com,8/13/2014,JAVID IQBAL / 2024842600,2034 W VIRGINIA AV NE,2034 W VIRGINIA AV NE ,N
Bass Circle Manager Inc.,"1101 30TH STREET NW, 4th Floor, WASHINGTON, DC / 2023338447",LSR76680072014,"ROB, SBE, LBE",dfojas@telesiscorp.com,7/16/2014,Daniel Fojas / 2023338447,1101 30TH ST NW,1101 30TH ST NW 4,Y
"Battle's Transportation, Inc.","3000 V STREET NE, , WASHINGTON, DC / 2024628658",LSZXRV89108012014,"VOB, ROB, LRB, DZE, SBE, LBE",tclarkson@battles-transport.com,1/6/2014,Tina Clarkson / 2024628658,3000 V ST NE,3000 V ST NE ,N
"Bazilio Cobb Associates, PC","1920 N STREET NW, Suite 800, WASHINGTON, DC / 2027783413",LZX81883122014,"LRB, DZE, LBE",mmsmith@baziliocobb.com,12/20/2014,Ralph B. Bazilio / 2027783413,1920 N ST NW,1920 N ST NW 800,Y
"BB&B Professional Movers, Inc.","2849 GEORGIA AVENUE NW, Suite 2-A, WASHINGTON, DC / 2025880688",LSZ77174112013,"DZE, SBE, LBE",bbbmovers@yahoo.com,11/18/2013,Avery Barber / 2024096549,2849 GEORGIA AV NW,2849 GEORGIA AV NW 2,Y
"BDC Construction, LLC","1015 1/2 7TH STREET NW, , WASHINGTON, DC / 2026281930",LSZR91436092014,"ROB, DZE, SBE, LBE",ajernagin@bundydevelopment.com,9/4/2014,Pamela Bundy / 2026281930,1015 1/2 7TH ST NW,1015 1/2 7TH ST NW ,N
"BDS Construction & Development, LLC","1235 KENILWORTH AVENUE NE, Suite #6, WASHINGTON, DC / 2025820414",LS72579102013,"SBE, LBE",msoria@bds-construction.com,10/21/2013,Marcelo Soria / 2023308346,1235 KENILWORTH AV NE,1235 KENILWORTH AV NE 6,Y
"BDS Protective Services, LLC","1918 16TH STREET SE, , WASHINGTON, DC / 2025622377",LSDZ45699022014,"DZE, DBE, SBE, LBE",bds5299@yahoo.com,2/24/2014,Jeffery Jackson / 2025280395,1918 16TH ST SE,1918 16TH ST SE ,N
BEDD Group LLC,"1744 TAYLOR STREET NW, , WASHINGTON, DC / 2028828139",LSDRV85268062014,"VOB, ROB, DBE, SBE, LBE",bmitchell@beddgroup.com,6/28/2014,Beverley Mitchell / 2028828139,1744 TAYLOR ST NW,1744 TAYLOR ST NW ,N
Bedrock Global LLC,"2020 12TH STREET NW, Suite 716, WASHINGTON, DC / 2022158307",LSDR305072013,"ROB, DBE, SBE, LBE",marvin@bedrockglobaldc.com,7/28/2013,Marvin Morris /,2020 12TH ST NW,2020 12TH ST NW 716,Y
"Behavioral & Educational Solutions, P.C.","1801 1/2 KENYON STREET NW, , WASHINGTON, DC / 2026741182",LSDZR71687052014,"ROB, DZE, DBE, SBE, LBE",Amado@besdc.com,5/31/2014,Alfred Amado / 2026741182,1801 1/2 KENYON ST NW,1801 1/2 KENYON ST NW ,N
"Bell Architects, PC","1228 9TH STREET NW, , WASHINGTON, DC / 2025487570",LSZ6258112013,"DZE, SBE, LBE",david.bell@bellarc.com,11/18/2013,T David Bell / 2025487570,1228 9TH ST NW,1228 9TH ST NW ,N
"Bennett Group, Inc. (formerly RAB Management, Inc.)","1230 31ST STREET NW, , WASHINGTON, DC / 2026253330",LS47267022014,"SBE, LBE",emmap@bennetgroupdc.com,2/17/2014,Emma Pfefferkorn / 2026253330,1230 31ST ST NW,1230 31ST ST NW ,N
Bernstein Management Corporation,"5301 WISCONSIN AVENUE NW, Suite 600, WASHINGTON, DC / 2023636301",LSXR75925122014,"ROB, LRB, SBE, LBE",dbatlan@bernsteinmgmt.com,12/5/2014,David Batlan / 2023636301,5301 WISCONSIN AV NW,5301 WISCONSIN AV NW 600,Y
Bert Smith & Company,"1090 VERMONT AVENUE NW, Suite 920, WASHINGTON, DC / 2023935600",LSZX46196072014,"LRB, DZE, SBE, LBE",mmickens@bertsmithco.com,7/11/2014,George Willie / 2023935600,1090 VERMONT AV NW,1090 VERMONT AV NW 920,Y
Best Capitol Auto Body,"1225 W STREET NE, , WASHINGTON, DC / 2022691430",LSZ10821072013,"DZE, SBE, LBE",yimmclean@gmail.com,7/28/2013,Chon Yim / 2022691430,1225 W ST NE,1225 W ST NE ,N
"Beveridge & Diamond, P.C.","1350 I STREET NW, Suite 700, WASHINGTON, DC / 2027896000",L38605042014,LBE,kharris@bdlaw.com,4/9/2014,Katherine Harris / 2027896160,1350 I ST NW,1350 I ST NW 700,Y
bgp inc.,"4221 GORMAN STREET SE, , WASHINGTON, DC / 2023655021",LSDZR59632032014,"ROB, DZE, DBE, SBE, LBE",bgp12335@yahoo.com,3/26/2014,cassandra white / 2023655021,4221 GORMAN ST SE,4221 GORMAN ST SE ,N
BGV Construction LLC,"3022 PORTER STREET NW, #104, WASHINGTON, DC / 2025253513",LSR42508052013,"ROB, SBE, LBE",sales@bgvconstruction.com,5/27/2013,Paul Lewis / 2025253513,3022 PORTER ST NW,3022 PORTER ST NW 104,Y
"Bickerstaff Sports & Entertainment, LLC dba The Bickerstaff Group","2921 26TH STREET NE, , WASHINGTON, DC / 2023632375",LSDR28027072013,"ROB, DBE, SBE, LBE",infobg@bickerstaffgroup.com,7/15/2013,Cydni Bickerstaff / 2023632375,2921 26TH ST NE,2921 26TH ST NE ,N
Bittersweet Creative,"52 O STREET NW, Suite 301, WASHINGTON, DC / 2026560865",LSR65557022015,"ROB, SBE, LBE",kate@bittersweetcreative.com,2/11/2015,Kate Schmidgall / 2026560865,52 O ST NW,52 O ST NW 301,Y
"BizTech Fusion, LLC","1200 G STREET NW, Suite 800, WASHINGTON, DC / 2024348726",LSD59877082013,"DBE, SBE, LBE",xadean@biztechfusion.com,8/8/2013,Xadean Ahmasi / 2024348726,1200 G ST NW,1200 G ST NW 800,Y
"Blackwood of DC, LLC","5151 WISCONSIN AVENUE NW, Suite 500, WASHINGTON, DC / 2027583116",L23623122014,LBE,BWright@Blackwood-DC.com,12/20/2014,Bryan Wright / 2027583116,5151 WISCONSIN AV NW,5151 WISCONSIN AV NW 500,Y
Blen Inc,"320 SEATON PLACE NE, , WASHINGTON, DC / 2022692066",LSDZR93594072014,"ROB, DZE, DBE, SBE, LBE",hanna@blencorp.com,7/3/2014,Ephrem Girma / 2022692066,320 SEATON PLACE NE,320 SEATON PLACE NE ,N
"BLOC - Atlantic, LLC","818 CONNECTICUT AVENUE NW, Suite 1100, WASHINGTON, DC / 2024963496",LS25000052013,"SBE, LBE",cwadkins@fmdeliversresults.com,5/20/2013,Clarence Wadkins / 2029042485,818 CONNECTICUT AV NW,818 CONNECTICUT AV NW 1100,Y
"Blue Skye Development, LLC","1539 7TH STREET NW, , WASHINGTON, DC / 2023321125",LSDZR56920062014,"ROB, DZE, DBE, SBE, LBE",scottie@blueskyeconstruction.com,6/1/2014,Bryan Irving / 2023321125,1539 7TH ST NW,1539 7TH ST NW ,N
"Blueprint Consulting Services, LLC","2440 16TH STREET NW, Ste 222, WASHINGTON, DC / 2023908630",LSDZR64545052014,"ROB, DZE, DBE, SBE, LBE",partner@blueprint-us.com,5/25/2014,Tushar Garg / 2023908630,2440 16TH ST NW,2440 16TH ST NW 222,Y
BMD INC,"1818 NEW YORK AVENUE NE, Suite 206, WASHINGTON, DC / 2026358095",LSDZ46714092014,"DZE, DBE, SBE, LBE",monty@bmd-inc.com,9/4/2014,Monty Dsouza / 2026358095,1818 NEW YORK AV NE,1818 NEW YORK AV NE 206,Y
"Bocalje Services, Inc.","3215 MARTIN LUTHER KING JR AVENUE SE, Suite 104, WASHINGTON, DC / 2023730375",LSDZ12363072013,"DZE, DBE, SBE, LBE",Info@Bocalje.net,7/1/2013,Ernest Ezuma / 2023730375,3215 MARTIN LUTHER KING JR AV SE,3215 MARTIN LUTHER KING JR AV SE 104,Y
"Bolan Smart Associates, Inc.","1250 24TH STREET NW, Suite 300, WASHINGTON, DC / 2023711333",LSZ89930022015,"DZE, SBE, LBE",pam.dubois@bolansmart.com,2/5/2015,Eric Smart / 2023711333,1250 24TH ST NW,1250 24TH ST NW 300,Y
"Bolana Capitol Enterprises, Inc.","4645 NANNIE HELEN BURROUGHS AVENUE NE, Suite 206, WASHINGTON, DC / 2026212260",LSD82473022015,"DBE, SBE, LBE",vdock@bolanacapitol.com,2/15/2015,Valarie Dock / 2026212260,4645 NANNIE HELEN BURROUGHS AV NE,4645 NANNIE HELEN BURROUGHS AV NE 206,Y
BONHAM CONCRETE & EXCAVATION,"1531 U STREET SE, , WASHINGTON, DC / 2026786128",LSDZR38245072014,"ROB, DZE, DBE, SBE, LBE",stephneydt@yahoo.com,7/16/2014,STEPHNEY TATE / 2026786128,1531 U ST SE,1531 U ST SE ,N
Bonney Insulation,"3004 20TH STREET NE, , WASHINGTON, DC / 2022105349",LSZR28190042013,"ROB, DZE, SBE, LBE",jobonney@starpower.net,4/28/2013,Itadi Bonney / 2022105349,3004 20TH ST NE,3004 20TH ST NE ,N
"Bowie Gridley Architects, P.L.L.C","1010 WISCONSIN AVENUE NW, Suite 400, WASHINGTON, DC / 2023370888",LSX81265072013,"LRB, SBE, LBE",kandrews@bowie-gridley.com,7/15/2013,William Gridley / 2023370888,1010 WISCONSIN AV NW,1010 WISCONSIN AV NW 400,Y
"Bowman Funeral Business Consultants, LLC","5214 AMES STREET NE, , WASHINGTON, DC / 2024943733",LSZR62414052014,"ROB, DZE, SBE, LBE",cfbowman2@msn.com,5/22/2014,Charles Bowman / 2024943733,5214 AMES ST NE,5214 AMES ST NE ,N
"Bradley Site Design, Inc.","1743 CONNECTICUT AVENUE NW, Fourth Floor, WASHINGTON, DC / 2025188534",LS84432102014,"SBE, LBE",sbradley@bradleysitedesign.com,10/12/2014,Sharon Bradley / 2025188534,1743 CONNECTICUT AV NW,1743 CONNECTICUT AV NW ,N
"Brailsford & Dunlavey, Inc.","1140 CONNECTICUT AVENUE NW, 400, WASHINGTON, DC / 2022894455",LS14006042014,"SBE, LBE",info@facilityplanners.com,4/17/2014,Paul Brailsford / 2022894455,1140 CONNECTICUT AV NW,1140 CONNECTICUT AV NW 400,Y
"Branch Supply, Inc.","1050 17TH STREET NW, , WASHINGTON, DC / 2024191488",LS28026082014,"SBE, LBE",branchsupplyinc@hotmail.com,8/16/2014,LaWan Bowman / 2024191488,1050 17TH ST NW,1050 17TH ST NW ,N
"Brandes & Cassagnol Engineers, PC","5520 CONNECTICUT AVENUE NW, , WASHINGTON, DC / 2023931360",LSDXR65816092014,"ROB, LRB, DBE, SBE, LBE",rcassagnol@bcepc.com,9/6/2014,Richard Cassagnol / 2023931360,5520 CONNECTICUT AV NW,5520 CONNECTICUT AV NW ,N
"Brentworks, Inc.","1776 I STREET NW, 9th floor, WASHINGTON, DC / 2026079445",LSD11150092013,"DBE, SBE, LBE",brentworks@aol.com,9/23/2013,Doris Brent / 2026079445,1776 I ST NW,1776 I ST NW 9,Y
"Brothers General Construction, Inc.","5111 GEORGIA AVENUE NW, , WASHINGTON, DC / 2024134400",LSDZR24404102014,"ROB, DZE, DBE, SBE, LBE",joe@brothers-electric.com,10/19/2014,Yusef Abdelaal / 2024134400,5111 GEORGIA AV NW,5111 GEORGIA AV NW ,N
Broughton Construction Company. LLC,"1050 17TH STREET NW, Suite 440, WASHINGTON, DC / 2025890066",LSDR93280032014,"ROB, DBE, SBE, LBE",tdixon@broughtonconstruction.com,3/30/2014,Casey Stringer / 2025890066,1050 17TH ST NW,1050 17TH ST NW 440,Y
"BrownBuilders Construction, LLC","3215 MARTIN LUTHER KING JR AVENUE SE, Suite B101, WASHINGTON, DC / 2025069808",LSDZ57032082013,"DZE, DBE, SBE, LBE",cbrown@brownbuilders.net,8/29/2013,Burnett Brown / 2402995581,3215 MARTIN LUTHER KING JR AV SE,3215 MARTIN LUTHER KING JR AV SE 101,Y
"Bryant Mitchell, PLLC","7826 EASTERN AVENUE NW, Suite 408, WASHINGTON, DC / 2025451601",LSDR89761012014,"ROB, DBE, SBE, LBE",melvinmitchellm@verizon.net,1/7/2014,Melvin Mitchell / 2025451601,7826 EERN AV NW,7826 EERN AV NW 408,Y
"Building Partnerships, LLC","1615 NEW HAMPSHIRE AVENUE NW, Suite C, WASHINGTON, DC / 7033281588",LSZ55301022015,"DZE, SBE, LBE",raramony@bp-dc.com,2/8/2015,Bob Aramony / 2027972800,1615 NEW HAMPSHIRE AV NW,1615 NEW HAMPSHIRE AV NW ,N
Bundy Development Corporation,"1015 1/2 7TH STREET NW, Suite 300, WASHINGTON, DC / 2026281930",LSR80112052014,"ROB, SBE, LBE",ajernagin@bundydevelopment.com,5/25/2014,Pamela Bundy / 2026281930,1015 1/2 7TH ST NW,1015 1/2 7TH ST NW 300,Y
Burch & Associates,"611 OTIS PLACE NW, , WASHINGTON, DC / 2022948858",LSZR23518032014,"ROB, DZE, SBE, LBE",Burchjr6@verizon.net,3/16/2014,Swift Burch / 2022948858,611 OTIS PLACE NW,611 OTIS PLACE NW ,N
"Business Development Associates, LLC","1050 CONNECTICUT AVENUE NW, 10th Floor, WASHINGTON, DC / 2027428972",LSR43189042013,"ROB, SBE, LBE",gboisson@bdaglobal.com,4/29/2013,Gaston Boisson / 2027428972,1050 CONNECTICUT AV NW,1050 CONNECTICUT AV NW 10,Y
"Business Promotion Consultants, Inc.","5804 MANCHESTER PLACE NW, , WASHINGTON, DC / 2024631900",LSDZR48340072013,"ROB, DZE, DBE, SBE, LBE",normabyrd@bpci.com,7/22/2013,Norma G. Byrd / 2024631900,5804 MANCHESTER PLACE NW,5804 MANCHESTER PLACE NW ,N
Business Resource & Security Services,"517 RHODE ISLAND AVENUE NW, , WASHINGTON, DC / 2022328343",LSDZR47823072013,"ROB, DZE, DBE, SBE, LBE",JAYOAKINGBADE@AOL.COM,7/1/2013,Johnson Ayodele Akingbade / 2022328343,517 RHODE ISLAND AV NW,517 RHODE ISLAND AV NW ,N
"Busy Bee Environmental Services, Inc.","7826 EASTERN AVENUE NW, Suite 503, WASHINGTON, DC / 2027264256",LSD69087042013,"DBE, SBE, LBE",dbernard@busybee2000.com,4/22/2013,Milton Bernard / 2027264256,7826 EERN AV NW,7826 EERN AV NW 503,Y
"C & A Electric, Inc dba Daniels Electric","3111 GEORGIA AVENUE NW, , WASHINGTON, DC / 2022914141",LSDZR643082014,"ROB, DZE, DBE, SBE, LBE",danielselectric@verizon.net,8/16/2014,Annie Daniels / 2022914141,3111 GEORGIA AV NW,3111 GEORGIA AV NW ,N
"C & B United Home Improvement Contractors, LLC","2317 32ND STREET SE, , WASHINGTON, DC / 2025814008",LSZR27497112013,"ROB, DZE, SBE, LBE",rcabico1@comcast.net,11/18/2013,Ronald Cabico / 2025814008,2317 32ND ST SE,2317 32ND ST SE ,N
"C & E Services, Inc. of Washington","1224 W STREET SE, , WASHINGTON, DC / 2026780532",LSZ48706012014,"DZE, SBE, LBE",drobinson@chemengineering.com,1/7/2014,Carl L Biggs / 2026780532,1224 W ST SE,1224 W ST SE ,N
C & V Construction Associates LLC,"1818 NEW YORK AVENUE NE, Suite 214 E, WASHINGTON, DC / 2022690655",LSZ14804122013,"DZE, SBE, LBE",hmartin@cvconstructionassociates.com,12/2/2013,Heather Martin / 2022690655,1818 NEW YORK AV NE,1818 NEW YORK AV NE 214,Y
C&C Solutions,"42 RHODE ISLAND AVENUE NE, , WASHINGTON, DC / 2027184958",LSDR3113012015,"ROB, DBE, SBE, LBE",cclark@candcsolutions.net,1/18/2015,Cynetheia Clark / 2025962628,42 RHODE ISLAND AV NE,42 RHODE ISLAND AV NE ,N
"CAISS, LLC","1201 CONNECTICUT AVENUE NW, , WASHINGTON, DC / 2023453047",LSDV95059072013,"VOB, DBE, SBE, LBE",hgardner704@aol.com,7/22/2013,Henri Gardner / 2023453047,1201 CONNECTICUT AV NW,1201 CONNECTICUT AV NW ,N
"Caldwell Food Group, LLC","2200 RAILROAD AVENUE SE, , WASHINGTON, DC / 2026101335",LSZR51661072013,"ROB, DZE, SBE, LBE",cfgfood@aol.com,7/1/2013,Susan Caldwell Samuels / 2026101335,2200 RAILROAD AV SE,2200 RAILROAD AV SE ,N
Canal Park Title & Escrow LLC,"1100 NEW JERSEY AVENUE SE, Suite 1020, WASHINGTON, DC / 2024792060",LSZ72176122014,"DZE, SBE, LBE",deebeekay@comcast.net,12/31/2014,Donna Kinnaman / 2024792060,1100 NEW JERSEY AV SE,1100 NEW JERSEY AV SE 1020,Y
Cap8Construction,"909 U STREET NW, , WASHINGTON, DC / 2027447740",LSDZR68675062014,"ROB, DZE, DBE, SBE, LBE",lwilliams@senaterealty.com,6/18/2014,lisa williams / 7035827150,909 U ST NW,909 U ST NW ,N
Capital Auto Auction,"1905 BRENTWOOD ROAD NE, , WASHINGTON, DC / 2022693361",LSZX43848112013,"LRB, DZE, SBE, LBE",mark.loesberg@gmail.com,11/10/2013,Mark Loesberg / 2022693361,1905 BRENTWOOD RD NE,1905 BRENTWOOD RD NE ,N
"Capital Builders and Associates, Inc.","1926 MARTIN LUTHER KING JR AVENUE SE, Suite C, WASHINGTON, DC / 2023305504",LSDZR77022122014,"ROB, DZE, DBE, SBE, LBE",cba@cbaincorp.com,12/20/2014,Armina Moshtagi / 2023305504,1926 MARTIN LUTHER KING JR AV SE,1926 MARTIN LUTHER KING JR AV SE ,N
Capital Building Corporation,"1419 KENILWORTH AVENUE NE, , WASHINGTON, DC / 2022901306",LSD40152042013,"DBE, SBE, LBE",guillermo@capitalmarblegranite.com,4/8/2013,Hector Villavicencio / 2022901306,1419 KENILWORTH AV NE,1419 KENILWORTH AV NE ,N
"Capital Commitment Solutions, LLC","1443 KENNEDY STREET NW, Suite 2, WASHINGTON, DC / 2025469696",LSDZR52185052014,"ROB, DZE, DBE, SBE, LBE",ernest.boykin@verizon.net,5/2/2014,Ernest Boykin Jr. / 2025469696,1443 KENNEDY ST NW,1443 KENNEDY ST NW 2,Y
"Capital Community News, Inc.","224 7TH STREET SE, , WASHINGTON, DC / 2025438300",LSR58522102014,"ROB, SBE, LBE",melissa.ashabranner@gmail.com,10/26/2014,Melissa Ashabranner / 2022501250,224 7TH ST SE,224 7TH ST SE ,N
"Capital Construction Enterprises, Inc.","1330 LOCUST ROAD NW, , WASHINGTON, DC / 2027220330",LSDR989022015,"ROB, DBE, SBE, LBE",ruthbri@msn.com,2/22/2015,Maria Patricia Corrales / 2027220330,1330 LOCUST RD NW,1330 LOCUST RD NW ,N
"Capital Construction Group, LLC","3321 12TH STREET NE, Suite 3, WASHINGTON, DC / 2025263420",LSDR35930122013,"ROB, DBE, SBE, LBE",rherndon@ccg-wdc.com,12/2/2013,Reginald Herndon / 2025263420,3321 12TH ST NE,3321 12TH ST NE 3,Y
Capital Enterprises,"1704 5TH STREET NW, , WASHINGTON, DC / 2023871596",LSZR2331122013,"ROB, DZE, SBE, LBE",mlthorpe2c02@aol.com,12/12/2013,Leroy Thorpe / 2023871596,1704 5TH ST NW,1704 5TH ST NW ,N
Capital Pixel,"638 ORLEANS PLACE NE, , WASHINGTON, DC / 4437452606",LSDZR23001052014,"ROB, DZE, DBE, SBE, LBE",lori@capitalpixel.com,5/4/2014,Lori Steenhoek / 4437452606,638 ORLEANS PLACE NE,638 ORLEANS PLACE NE ,N
Capital Reporting Company,"1821 JEFFERSON PLACE NW, 3rd Floor, WASHINGTON, DC / 2028573376",LS68900072013,"SBE, LBE",edavis@capitalreportingcompany.com,7/29/2013,Elizabeth Davis /,1821 JEFFERSON PLACE NW,1821 JEFFERSON PLACE NW 3,Y
"Capital Retail Group, LLC (Fomerly known as Tack Realty LLC)","1401 14TH STREET NW, 3rd fl, WASHINGTON, DC / 2023192884",LSDZR25294102014,"ROB, DZE, DBE, SBE, LBE",robert@capitalgreen.com,10/19/2014,Robert Tack / 2023192884,1401 14TH ST NW,1401 14TH ST NW 3,Y
"Capital Services & Supplies, Inc.","2804 DOUGLAS STREET NE, , WASHINGTON, DC / 2026350400",LSZX7539122014,"LRB, DZE, SBE, LBE",info@capitalservices.net,12/5/2014,Carolyn Forsythe / 2026350400,2804 DOUGLAS ST NE,2804 DOUGLAS ST NE ,N
CAPITAL VIEW GENERAL CONSTRUCTION INC,"1618 7TH STREET NW, , WASHINGTON, DC / 2026212247",LSZR69222092014,"ROB, DZE, SBE, LBE",capitalmd@yimaj.com,9/7/2014,YAMAJ KALIFA / 7037522240,1618 7TH ST NW,1618 7TH ST NW ,N
Capitol Business Solutions LLC,"310 FARRAGUT STREET NW, , WASHINGTON, DC / 2022916366",LSDZR41320042014,"ROB, DZE, DBE, SBE, LBE",info@CapitolBusinessSolutions.com,4/20/2014,Lisa Crawford / 2022916366,310 FARRAGUT ST NW,310 FARRAGUT ST NW ,N
"Capitol City Associates, Inc.","2307 SKYLAND PLACE SE, , WASHINGTON, DC / 2026786600",LSDZ75434072014,"DZE, DBE, SBE, LBE",rstyles@capitolcitydc.com,7/25/2014,Rosalind Styles / 2026786600,2307 SKYLAND PLACE SE,2307 SKYLAND PLACE SE ,N
Capitol Energy Group Inc.,"3300 THEODORE R HAGANS DRIVE NE, , WASHINGTON, DC / 2023098748",LSDZR10908082013,"ROB, DZE, DBE, SBE, LBE",norman_jones2005@yahoo.com,8/12/2013,Norman Jones / 2023098748,3300 THEODORE R HAGANS DR NE,3300 THEODORE R HAGANS DR NE ,N
Capitol Engineering Group,"1825 K STREET NW, Suite 375, WASHINGTON, DC / 2022160039",LS12457052013,"SBE, LBE",ashojaei@cegdc.com,5/20/2013,Alex Shojaei / 2022160039,1825 K ST NW,1825 K ST NW 375,Y
"Capitol Engineers, P.C.","7826 EASTERN AVENUE NW, Suite 411, WASHINGTON, DC / 2026286566",LSD77528072014,"DBE, SBE, LBE",dmahesh@capitolengineers.com,7/16/2014,David Mahesh / 2026286566,7826 EERN AV NW,7826 EERN AV NW 411,Y
"Capitol Entertainment Services, Inc.","3629 18TH STREET NE, , WASHINGTON, DC / 2026369203",LSR69892112013,"ROB, SBE, LBE",cestours@aol.com,11/18/2013,John Best / 2026369203,3629 18TH ST NE,3629 18TH ST NE ,N
"Capitol Health Management Services, LLC","4708 BLAGDEN TERRACE NW, , WASHINGTON, DC / 2026361131",LSR19643102014,"ROB, SBE, LBE",rmoms@aol.com,10/26/2014,Renee McCoy-Collins / 2026361131,4708 BLAGDEN TERRACE NW,4708 BLAGDEN TERRACE NW ,N
Capitol Hill Cleaning Svc. LLC,"3109 MARTIN LUTHER KING JR AVENUE SE, , WASHINGTON, DC / 2024594442",LSDZ96270062014,"DZE, DBE, SBE, LBE",caphilcs@hotmail.com,6/25/2014,Yolanda Wallace / 2024594442,3109 MARTIN LUTHER KING JR AV SE,3109 MARTIN LUTHER KING JR AV SE ,N
"Capitol Paving of D.C., Inc.","2211 CHANNING STREET NE, , WASHINGTON, DC / 2025297225",LZX99942072013,"LRB, DZE, LBE",tlw_cpdc@comcast.net,7/15/2013,Francisco Rodriguez-Neto / 2025297225,2211 CHANNING ST NE,2211 CHANNING ST NE ,N
"Capitol Preservation Services, LLC","700 12TH STREET NW, Suite 700, WASHINGTON, DC / 2029042417",LSD90569072013,"DBE, SBE, LBE",alex@capitol-preservation.com,7/22/2013,Alejandro Bertoldo / 2029042417,700 12TH ST NW,700 12TH ST NW 700,Y
Capitol Property Development LLC,"310 FARRAGUT STREET NW, , WASHINGTON, DC / 2022916366",LSDZR72712032014,"ROB, DZE, DBE, SBE, LBE",info@capitolpropertydevelopment.com,3/26/2014,Lisa Mae Crawford / 2022916366,310 FARRAGUT ST NW,310 FARRAGUT ST NW ,N
"Capitol Services Management, Inc.","3215 MARTIN LUTHER KING JR AVENUE SE, , WASHINGTON, DC / 2025635201",LSDZR30816082013,"ROB, DZE, DBE, SBE, LBE",phinisjones@comcast.net,8/8/2013,Phinis Jones / 2025635200,3215 MARTIN LUTHER KING JR AV SE,3215 MARTIN LUTHER KING JR AV SE ,N
Capitol VOIP Solutions,"1000 NEW JERSEY AVENUE SE, #223, WASHINGTON, DC / 2024252555",LSZR38961082013,"ROB, DZE, SBE, LBE",awoldu@capitolvoipsolutions.com,8/8/2013,Asemorom Woldu / 2024252555,1000 NEW JERSEY AV SE,1000 NEW JERSEY AV SE 223,Y
"Capitol Works, Inc.","6955 GREENVALE STREET NW, , WASHINGTON, DC / 2023636286",LSR39290052014,"ROB, SBE, LBE",capworks@msn.com,5/8/2014,James P. Peters III / 2023636286,6955 GREENVALE ST NW,6955 GREENVALE ST NW ,N
Capstone Development LLC,"1200 G STREET NW, Suite 800, WASHINGTON, DC / 2026613536",LSZ98012092014,"DZE, SBE, LBE",normanjenkins@cstonedevelopment.com,9/24/2014,Norman K Jenkins / 2026613536,1200 G ST NW,1200 G ST NW 800,Y
"Capstone Procurement, LLC","1200 G STREET NW, Suite 800, WASHINGTON, DC / 2026613536",LSZ58685032014,"DZE, SBE, LBE",normanjenkins@cstonedevelopment.com,3/16/2014,Norman jenkins / 2026613536,1200 G ST NW,1200 G ST NW 800,Y
Carlos Rojas Architectural Services,"3606 NORTON PLACE NW, , WASHINGTON, DC / 2024946994",LSR5877012014,"ROB, SBE, LBE",carlos@arch-serv.com,1/21/2014,Carlos Rojas / 2029669694,3606 NORTON PLACE NW,3606 NORTON PLACE NW ,N
"Carter & Carter Enterprises, Inc.","212 VAN BUREN STREET NW, , WASHINGTON, DC / 2022503471",LR52317112013,"ROB, LBE",dickiescarter@aol.com,11/25/2013,Dickie Carter / 2025432000,212 VAN BUREN ST NW,212 VAN BUREN ST NW ,N
"Carvalho & Good, PLLC","1025 CONNECTICUT AVENUE NW, Suite 1060, WASHINGTON, DC / 2028579720",LSD61122122013,"DBE, SBE, LBE",brunoc@carvalhogood.com,12/30/2013,Bruno Carvalho / 2028579720,1025 CONNECTICUT AV NW,1025 CONNECTICUT AV NW 1060,Y
Cassandra A Whisenton Tax Preparing Notary Cleaning Services,"119 DIVISION AVENUE NE, , WASHINGTON, DC / 2024250535",LSDZR55774062013,"ROB, DZE, DBE, SBE, LBE",C.A.Whisenton@gmail.com,6/3/2013,Cassandra Whisenton / 2024250535,119 DIVISION AV NE,119 DIVISION AV NE ,N
"Cavalier Cleaning and Environmental Services, Inc.","611 L STREET NW, , WASHINGTON, DC / 2022916493",LSZ14801052013,"DZE, SBE, LBE",PFurby@eaglesvcs.com,5/13/2013,Paul Furby / 2022916493,611 L ST NW,611 L ST NW ,N
