Company Name,Business Structure,Certification Categories,Company Status,Email Address (Public Contact),Expiration Date,NIGP Codes
,,,,,,"Urban Planning Consulting,"
,,,,,,"Utilities: Gas, Water, Electric Consulting,"
,,,,,,Construction Management Services
Advanced Network Consulting Inc.,Corporation,"DZE, DBE, SBE, LBE",Active,cbarrow@ancsweb.com,11/9/14,"EDI (Electronic Data Interchange) Value Added Network (VAN) Services,"
,,,,,,"Computer Hardware Consulting,"
,,,,,,"CONSULTANT SERVICES, COMPUTER SYSTEMS/NETWORKING,"
,,,,,,"Computer Software Consulting,"
,,,,,,"CONSULTING SERVICES RELATED TO THE IMPLEMENTATION OF SOFTWARE,"
,,,,,,"Computer Network Consulting,"
,,,,,,"Networking Services (Including Installation, Security, and Maintenance ),"
,,,,,,"Programming Services, Computer,"
,,,,,,"Computer Management Services,"
,,,,,,"Construction Management Services,"
,,,,,,"Project Management Services,"
,,,,,,"Program/Project Development and Management Services,"
,,,,,,"Cable Construction, Installation and Maintenance (Fiber Optic, Communication, Computer, etc.),"
,,,,,,"COMPUTER CABLE INSTALLATION,"
,,,,,,Installation and Removal Services (Not Otherwise Classified)
Studio Laan,Limited Liability Corporation,"ROB, DBE, SBE, LBE",Active,panderson@studiolaan.net,11/21/14,"Architect Services, Professional,"
,,,,,,"Buildings - Architectural Design,"
,,,,,,"Energy Conservation; New Energy Sources (Solar, etc.) - Architectural Services,"
,,,,,,"Environmental - Architectural,"
,,,,,,"Interior Design, Space Planning, and Exhibits/Displays,"
,,,,,,"Land Development and Planning - Architectural,"
,,,,,,"Planning, Urban (Community, Regional, Areawide, and State),"
,,,,,,"Planning, Site (Installation and Project)"
"Jones Glass, LLC",Limited Liability Corporation,"DZE, DBE, SBE, LBE",Active,robertjones@jonesglass.net,11/20/14,"Building Construction (Not Otherwise Classified),"
,,,,,,"Glass Replacement, Maintenance, and Repair,"
,,,,,,"GLASS AND PLASTIC REPLACEMENT,"
,,,,,,"Glass and Glazing,"
,,,,,,"Buildings, Structures and Components Consulting,"
,,,,,,Construction Consulting
Village Academy of Washington DC LLC,Limited Liability Corporation,"DZE, DBE, SBE, LBE",Active,panthony@villageacademydc.org,2/5/15,"Education and Training Consulting,"
,,,,,,"Human Relations Consulting,"
,,,,,,"Human Services Consulting (To Include Mental Health Consulting Services),"
,,,,,,"Special Education,"
,,,,,,"HEALTH RELATED SERVICES (FOR HUMAN SERVICES SEE CLASS 952),"
,,,,,,"Mental Health Services: Vocational, Residential, Etc.,"
,,,,,,"Research and Evaluation, Human Services (Including Productivity Audits)"
Bernstein Management Corporation,Corporation,"ROB, LRB, SBE, LBE",Active,dbatlan@bernsteinmgmt.com,12/5/14,"Land Development and Sub-Division Services,"
,,,,,,"Community Development Consulting,"
,,,,,,"Land Development and Planning/Engineering,"
,,,,,,"Slum Redevelopment Services,"
,,,,,,"Urban and Regional Development Services,"
,,,,,,"Property Management Services,"
,,,,,,"Industrial Development and Planning Services,"
,,,,,,REAL PROPERTY RENTAL OR LEASE
"George L. Nichols & Associates, LLC",Limited Liability Corporation,"ROB, SBE, LBE",Active,glnicky@aol.com,5/10/15,"Energy Conservation; New Energy Sources (Solar, etc.) - Architectural Services,"
,,,,,,"Administrative Consulting,"
,,,,,,"Energy Conservation Consulting,"
,,,,,,"Environmental Consulting,"
,,,,,,"Management Consulting,"
,,,,,,"Organizational Development Consulting,"
,,,,,,Urban Planning Consulting
"Brothers General Construction, Inc.",Corporation,"ROB, DZE, DBE, SBE, LBE",Active,joe@brothers-electric.com,10/19/14,"Wiring and Other Electrical Maintenance and Repair Services,"
,,,,,,"ELECTRICAL MAINTENANCE AND REPAIR SERVICES,"
,,,,,,"Electrical,"
,,,,,,"Electrical Engineering,"
,,,,,,"Electrical (Alternator/Generator, Battery, Ignition System, Lights, etc.) Maintenance and Repair,"
,,,,,,"Electrical Equipment (Except Cable and Wires, and Lighting Fixtures) Maintenance and Repair"
"Technology Metrics, LLC",Limited Liability Corporation,"ROB, SBE, LBE",Active,leonard.rockett@technologymetricsllc.com,12/31/14,"Administrative Consulting,"
,,,,,,"Education and Training Consulting,"
,,,,,,"Engineering Consulting,"
,,,,,,"Management Consulting,"
,,,,,,"Strategic Technology Planning and Consulting Services,"
,,,,,,"In-Service Training (For Employees),"
,,,,,,"Training and Instruction (For Clients, Not Staff),"
,,,,,,"Business Management Services,"
,,,,,,"Project Management Services,"
,,,,,,Program/Project Development and Management Services
"Brannan & Brannan Home Improvement, LLC",Limited Liability Corporation,"ROB, SBE, LBE",Active,bbs@energymail.biz,3/15/15,"Building Construction, Residential (Apartments, etc.),"
,,,,,,"Home Construction, Single Family,"
,,,,,,"Building and House Leveling Services,"
,,,,,,"Carpentry Maintenance and Repair Services,"
,,,,,,"Concrete Raising and Undersealing Services,"
,,,,,,"CARPET/FLOORING INSTALLATION AND/OR REMOVAL SERVICES,"
,,,,,,"Painting, Maintenance and Repair Services (Including Caulking),"
,,,,,,"PAINTING SERVICES,"
,,,,,,"Buildings, Structures and Components Consulting,"
,,,,,,"Construction Consulting,"
,,,,,,"Management Consulting,"
,,,,,,"Utilities: Gas, Water, Electric Consulting,"
,,,,,,"Construction Management Services,"
,,,,,,Project Management Services
South Side Productions LLC,Limited Liability Corporation,"ROB, SBE, LBE",Active,michaelweissk@gmail.com,10/19/14,"Real Estate: Land and Improvements,"
,,,,,,"Building Construction, Residential (Apartments, etc.),"
,,,,,,"Buildings, Structures and Components Consulting,"
,,,,,,"Community Development Consulting,"
,,,,,,"Construction Consulting,"
,,,,,,"Real Estate/Land Consulting (Including Land Survey Consulting),"
,,,,,,"Urban Planning Consulting,"
,,,,,,"Slum Redevelopment Services,"
,,,,,,"Urban and Regional Development Services,"
,,,,,,"Project Management Services,"
,,,,,,"Real Estate Management Services (To include Listing and Sales Services),"
,,,,,,"Program/Project Development and Management Services,"
,,,,,,"REAL PROPERTY RENTAL OR LEASE,"
,,,,,,"BUILDING RENTAL OR LEASE SERVICES, FABRICATED,"
,,,,,,"Real Estate (Incl. Buildings, Houses, Land, etc),"
,,,,,,"MARKETING, REAL ESTATE, SURPLUS"
DC Community Energy Partners LLC dba New City Energy Group,Limited Liability Corporation,"ROB, DZE, SBE, LBE",Active,boyd.steve@gmail.com,9/14/14,"Energy Conservation Services (Including Audits),"
,,,,,,"Energy Conservation Consulting,"
,,,,,,"Finance/Economics Consulting,"
,,,,,,"Management Consulting,"
,,,,,,"Conservation/Resource Management Services,"
,,,,,,"Project Management Services,"
,,,,,,"Energy Comprehensive Performance Services (A Complete Conservation Program),"
,,,,,,Weatherization Audit Services
"Are Times, LLC",Limited Liability Corporation,"ROB, DZE, SBE, LBE",Active,alao@areitmes.com,11/20/14,"Database Software,"
,,,,,,"Programming: Basic, Assembler, Computer Assisted Software Engineering Tools (CASE), Libraries, etc.,"
,,,,,,"Database,"
,,,,,,"Programming: Basic, Assembler, etc.,"
,,,,,,"Computer Software Consulting,"
,,,,,,"Computer Network Consulting,"
,,,,,,"E-Commerce Software Development Services,"
,,,,,,"Programming Services, Computer,"
,,,,,,"PROGRAMMING FOR DATABASE WEB DEVELOPMENT ENVIRONMENT (HTML, XML)"
Modern Solutions LLC,Limited Liability Corporation,"ROB, DBE, SBE, LBE",Active,carlynnmross@verizon.net,8/8/13,"Consulting Services (Not Otherwise Classified),"
,,,,,,"Management Consulting,"
,,,,,,"Project Management Services,"
,,,,,,Program/Project Development and Management Services
"Omega Supply Services, Inc.",Corporation,"DZE, DBE, SBE, LBE",Active,omegasupplies@aol.com,10/19/14,"Pipe and Tubing Insulation, All Types,"
,,,,,,"Bags, Cement,"
,,,,,,"Bags, Sand,"
,,,,,,"Stone, Building (Except Marble),"
,,,,,,"CONCRETE, READY MIX (BAGGED),"
,,,,,,"Aprons and Gloves, Laboratory: Plastic, Rubber, etc.,"
,,,,,,"Gloves: Latex, Plastic, PVC, Poly, Synthetic, Vinyl, etc. (All Types),"
,,,,,,"BLOCKS, MASONRY, CONCRETE, HOLLOW UNIT,"
,,,,,,"Ties and Anchors and Other Masonry Wall Reinforcements,"
,,,,,,"Adhesives (For Concrete): Cured-to-Cured, Fresh-to-Cured, and Steel-to-Concrete,"
,,,,,,"Mortars and/or Grouts,"
,,,,,,"MORTAR, MASONRY,"
,,,,,,"First Aid and Safety Teaching Equipment and Supplies: Charts, Manuals, Posters, Safety Placards, Safety Training Videos, etc.,"
,,,,,,"HAND TOOLS (POWERED AND NON-POWERED), ACCESSORIES AND SUPPLIES,"
,,,,,,"ADHESIVES, CONCRETE,"
,,,,,,"Bandages (All Types), Adhesive Tapes, Dressings, Plaster of Paris, and Surgical Gauze (Including Casts),"
,,,,,,"Gloves and Finger Cots, Medical Type,"
,,,,,,"Soap, Hand: Bar, Liquid, and Powdered,"
,,,,,,"Lumber, Hardwood, All Kinds,"
,,,,,,"SHEETROCK (DRYWALL),"
,,,,,,"SHEETROCK (DRYWALL), FIREGUARDED,"
,,,,,,"WIRE MESH,"
,,,,,,"Cleaners, Hand (Pre-moistened Towelettes, etc.),"
,,,,,,"Bags and Liners, Plastic: Garbage Can Liners, Janitor Cart Liners, Linen Hamper Liners, Litter Bags, Polyethylene Bags, etc.,"
,,,,,,"Sand and Gravel,"
,,,,,,"SAND, CONCRETE,"
,,,,,,"Meters, Water,"
,,,,,,"Food Distribution Services,"
,,,,,,Metals other than Scrap (All Types)
DMV Cleaning Services,Limited Liability Corporation,"DZE, DBE, SBE, LBE",Active,info@dmvcleaning.com,6/19/14,"Site Work (Incl. Site Clean-Up),"
,,,,,,"Building Cleaning, Exterior,"
,,,,,,"Carpet Cleaning, Dyeing, Installation and Repair,"
,,,,,,"Janitorial/Custodial Services,"
,,,,,,"JANITORIAL/CUSTODIAL SERVICES,"
,,,,,,"Window Washing Services,"
,,,,,,"WINDOW WASHING SERVICES, OFFICE BUILDINGS, SINGLE STORY,"
,,,,,,"WINDOW WASHING SERVICES, OFFICE BUILDINS, MULTI-STORIED,"
,,,,,,"Consulting Services (Not Otherwise Classified),"
,,,,,,"Management Consulting,"
,,,,,,"EQUIPMENT MAINTENANCE AND REPAIR SERVICES FOR LAUNDRY, LAWN, PAINTING, PLUMBING, AND SPRAYING EQUIPMENT,"
,,,,,,"Housekeeping Services,"
,,,,,,"Project Management Services,"
,,,,,,"Cost Estimating,"
,,,,,,"Program/Project Development and Management Services,"
,,,,,,"Cleaning Services, Steam and Pressure,"
,,,,,,"CLEANING SERVICES, STEAM AND PRESSURE,"
,,,,,,"Installation and Removal Services (Not Otherwise Classified),"
,,,,,,"Graffiti Removal Services,"
,,,,,,"GRAFFITI REMOVAL SERVICES,"
,,,,,,"Cleaning of Amusement Areas, Exposition Centers, Grounds, Parks, Picnic Areas, Rest Areas, Etc."
"King Professional Staffing, LLC",Limited Liability Corporation,"ROB, DBE, SBE, LBE",Active,gmavrikes@aol.com,2/1/15,"Business Consulting, Small,"
,,,,,,"Business Consulting, Large,"
,,,,,,Human Resources Consulting
Advanced Air Mechanical Systems,Corporation,"DZE, DBE, SBE, LBE",Active,kkangaams@aol.com,12/20/14,"Energy Computerized Control System (HVAC, Lighting, Utilities, etc) Installation, Maintenance and Repair Services,"
,,,,,,"Heating, Air Conditioning, and Ventilation Maintenance and Repair Services (Including Installation),"
,,,,,,"INSPECTION AND MAINTENANCE OF HVAC FILTERS,"
,,,,,,"MAINTENANCE OF THE PNEUMATIC AND ELECTRIC HVAC TEMPERATURE CONTROLS SYSTEM,"
,,,,,,"Heating, Ventilating and Air Conditioning (HVAC),"
,,,,,,"Buildings, Structures and Components Consulting,"
,,,,,,"Construction Consulting,"
,,,,,,"Consulting Services (Not Otherwise Classified),"
,,,,,,"Management Consulting,"
,,,,,,"Utilities: Gas, Water, Electric Consulting,"
,,,,,,"Industrial Equipment (Not Construction and Repair, or HVAC) Maintenance and Repair,"
,,,,,,"Boiler Maintenance and Repair, Steam (Including Testing Services - See 941-56 for Hydrostatic Testing),"
,,,,,,"HVAC Systems Maintenance and Repair, Power Plant,"
,,,,,,"Hydrostatic Testing Services, Boiler,"
,,,,,,"Construction Management Services,"
,,,,,,"Project Management Services,"
,,,,,,"Cost Estimating,"
,,,,,,Installation and Removal Services (Not Otherwise Classified)
Strategic Educational Consulting LLC,Limited Liability Corporation,"ROB, DBE, SBE, LBE",Active,strategicedconsulting@gmail.com,3/29/15,"Compliance Consulting, American Disabilities Act (ADA),"
,,,,,,"Consulting Services (Not Otherwise Classified),"
,,,,,,"Education and Training Consulting,"
,,,,,,"Governmental Consulting,"
,,,,,,"Management Consulting,"
,,,,,,"Natural Disasters (Fire, Flood, Wind, Quakes) Consulting,"
,,,,,,"Advisory Services, Educational,"
,,,,,,"Course Development Services, Instructional/Training,"
,,,,,,"Educational Services, Alternative,"
,,,,,,"In-Service Training (For Employees),"
,,,,,,"Training and Instruction (For Clients, Not Staff),"
,,,,,,"Project Management Services,"
,,,,,,"Program/Project Development and Management Services,"
,,,,,,"Disaster Preparedness/Emergency Planning Services,"
,,,,,,"Safety Training and Awareness Services (Highway Safety, Boating, Seat Belt, etc.)"
"MJM Contracting, Inc",Corporation,"DBE, SBE, LBE",Active,nanita5114@hotmail.com,1/20/14,"Administration of Contracts: Summary of Work, Quality Control, Project Closeout, etc.,"
,,,,,,"Building Construction, Industrial (Warehouse, etc.),"
,,,,,,"Building Construction, Non-Residential (Office Bldg., etc.),"
,,,,,,"Building Construction, Residential (Apartments, etc.),"
,,,,,,"Building Construction, Commercial and Institutional,"
,,,,,,"Building Construction, Prefabricated (All Types),"
,,,,,,"Building Construction, Educational,"
,,,,,,"Building Construction, Medical,"
,,,,,,"Building Construction, Religious,"
,,,,,,"Building Construction (Not Otherwise Classified),"
,,,,,,"Doors and Windows,"
,,,,,,"Finishes: Flooring, Wall and Ceiling, etc.,"
,,,,,,"Home Construction, Single Family,"
,,,,,,"Maintenance and Repair, Industrial Building,"
,,,,,,"Maintenance and Repair, Non-Residential Building,"
,,,,,,"Maintenance and Repair, Residential Buildings (Incl. Single Family Homes and Apartments),"
,,,,,,"Maintenance and Repair, Commercial and Institutional Building,"
,,,,,,"Maintenance and Repair, Agricultural Building,"
,,,,,,"Maintenance and Repair, Educational Building,"
,,,,,,"Maintenance and Repair, Medical Building,"
,,,,,,"Maintenance and Repair, Religious Building,"
,,,,,,"Site Work (Incl. Site Clean-Up),"
,,,,,,"Acoustical Ceilings and Walls: Cleaning, Installation, Restoration, Maintenance and Repair (Including Panel Wall Systems),"
,,,,,,"Building and House Leveling Services,"
,,,,,,"Carpentry Maintenance and Repair Services,"
,,,,,,"Carpet Cleaning, Dyeing, Installation and Repair,"
,,,,,,"CARPET/FLOORING INSTALLATION AND/OR REMOVAL SERVICES,"
,,,,,,"Door Installation, Maintenance, and Repair (Metal),"
,,,,,,"Door Installation, Maintenance, and Repair (Wood),"
,,,,,,"Flooring Maintenance and Repair to Include Refinishing and Sealing,"
,,,,,,"MAINTENANCE AND REPAIR, FLOORING, TO INCLUDE REFINISHING, SEALING, STRIPPING AND WAXING,"
,,,,,,"PREPARATION AND PATCHING OF FLOORS,"
,,,,,,"Glass Replacement, Maintenance, and Repair,"
,,,,,,"Kitchen and Bathroom Fixture Repair (Not Plumbing): Bathtubs, Sinks, Cabinets, Counter Tops, etc.,"
,,,,,,"Masonry, Concrete, and Stucco Maintenance and Repair (Includes Inside Concrete Sawing and Grouting Work),"
,,,,,,"SEALING SERVICES, CONCRETE JOINT/CRACK. THIS WORK INCLUDES THE REMOVAL OF EXISTING JOINT MATERIAL, CLEANING THE JOINT OR CRACK, AND REPLACING THE MATERIAL,"
,,,,,,"Maintenance Services, Building (Not Otherwise Classified),"
,,,,,,"Metal Work Maintenance and Repair (Incl. Metal Refinishing Services),"
,,,,,,"Painting, Maintenance and Repair Services (Including Caulking),"
,,,,,,"PAINTING SERVICES,"
,,,,,,"Panel Wall Systems Installation, Maintenance, and Repair,"
,,,,,,"Remodeling and Alterations,"
,,,,,,"Shelters, Carports, Portable Buildings, etc. Maintenance and Repair,"
,,,,,,"Tile and Stone (Includes Granite, Marble, and Terrazzo), Restoration, Refurbishing, Maintenance and Repair,"
,,,,,,"Wallpapering Services, Includes Maintenance and Repair,"
,,,,,,"Wall and Ceiling Repair and Replacement (Including Drywalling),"
,,,,,,"Window Installation, Maintenance, and Repair (Wood),"
,,,,,,"Carpentry,"
,,,,,,"Concrete,"
,,,,,,"Flooring,"
,,,,,,"Glass and Glazing,"
,,,,,,"Insulation,"
,,,,,,"Masonry,"
,,,,,,"Metal Work,"
,,,,,,"Painting and Wallpapering,"
,,,,,,"PAINTING STRUCTURAL STEEL AND METAL RAILINGS. THIS WORK SHALL CONSIST OF THE CLEANING AND PREPARATION OF THE METAL SURFACES, THE FURNISHING, APPLICATION AND PROTECTION OF THE PAINT COATINGS AND INCIDENTAL WORK.,"
,,,,,,"Plastering,"
,,,,,,"Plastics,"
,,,,,,"Stucco,"
,,,,,,"Tile and Marble Work, All Types,"
,,,,,,"Trade Services, Construction (Not Otherwise Classified),"
,,,,,,"Wood,"
,,,,,,"Buildings, Structures and Components Consulting,"
,,,,,,"Construction Consulting,"
,,,,,,"Consulting Services (Not Otherwise Classified),"
,,,,,,"Quality Assurance/Control Consulting,"
,,,,,,"Roofing Consultant,"
,,,,,,"Utilities: Gas, Water, Electric Consulting,"
,,,,,,"Construction Management Services,"
,,,,,,"Project Management Services,"
,,,,,,"Cost Estimating,"
,,,,,,"Program/Project Development and Management Services,"
,,,,,,Installation and Removal Services (Not Otherwise Classified)
"FDS Design Studio, LLC",Limited Liability Corporation,"ROB, DZE, SBE, LBE",Active,scolombina@fdsdesignstudio.com,11/20/14,"Design Build Services,"
,,,,,,"Designing Services,"
,,,,,,"Business Consulting, Small,"
,,,,,,"Consulting Services (Not Otherwise Classified),"
,,,,,,"Feasibility Studies (Consulting),"
,,,,,,"Food Service Consulting,"
,,,,,,"Project Management Services,"
,,,,,,Interior Design/Decorator Services
Realty Ventures LLC,Corporation,"ROB, DZE, DBE, SBE, LBE",Active,realtyventures@comcast.net,3/25/15,"Real Estate: Land and Improvements,"
,,,,,,"Airport Facility Construction,"
,,,,,,"Airport Facility Maintenance and Repair,"
,,,,,,"Athletic Facility Construction,"
,,,,,,"Athletic Facility Maintenance and Repair,"
,,,,,,"Building Construction, Industrial (Warehouse, etc.),"
,,,,,,"Building Construction, Non-Residential (Office Bldg., etc.),"
,,,,,,"Building Construction, Residential (Apartments, etc.),"
,,,,,,"Building Construction, Commercial and Institutional,"
,,,,,,"Building Construction, Agricultural,"
,,,,,,"Building Construction, Educational,"
,,,,,,"Building Construction, Medical,"
,,,,,,"Building Construction, Religious,"
,,,,,,"Building Construction (Not Otherwise Classified),"
,,,,,,"Conveying Systems: Elevators, Lifts, etc.,"
,,,,,,"Home Construction, Single Family,"
,,,,,,"Land Development and Sub-Division Services,"
,,,,,,"Maintenance and Repair, Industrial Building,"
,,,,,,"Maintenance and Repair, Non-Residential Building,"
,,,,,,"Maintenance and Repair, Residential Buildings (Incl. Single Family Homes and Apartments),"
,,,,,,"Maintenance and Repair, Commercial and Institutional Building,"
,,,,,,"Maintenance and Repair, Agricultural Building,"
,,,,,,"Maintenance and Repair, Educational Building,"
,,,,,,"Maintenance and Repair, Medical Building,"
,,,,,,"Maintenance and Repair, Religious Building,"
,,,,,,"Site Work (Incl. Site Clean-Up),"
,,,,,,"Special Construction: Observatory, Security, Special Rooms, etc.,"
,,,,,,"Buildings, Structures and Components Consulting,"
,,,,,,"Construction Consulting,"
,,,,,,"Real Estate/Land Consulting (Including Land Survey Consulting),"
,,,,,,"Construction Management Services,"
,,,,,,"Real Estate Management Services (To include Listing and Sales Services),"
,,,,,,"Land, Rental or Lease,"
,,,,,,"Locker Rental or Lease,"
,,,,,,"Mobile Home Rental or Lease,"
,,,,,,"Mobile Office Rental or Lease,"
,,,,,,"Office Space Rental or Lease,"
,,,,,,"Rental or Lease of Parking Spaces in a Parking Lot or Garage,"
,,,,,,"RENTAL OF PARKING SPACES,"
,,,,,,"Photographic and Recording Facility Rental or Lease,"
,,,,,,"Residential Space Rental or Lease,"
,,,,,,"Room Rental or Lease for Conferences, Seminars, etc.,"
,,,,,,"Safety Deposit Box Rental or Lease,"
,,,,,,"Storage Space Rental or Lease,"
,,,,,,"Warehouse Rental or Lease,"
,,,,,,"Real Estate (Incl. Buildings, Houses, Land, etc),"
,,,,,,"MARKETING, REAL ESTATE, SURPLUS"
A THRU Z CONSTRUCTION,Limited Liability Corporation,"DZE, DBE, SBE, LBE",Active,charlie@athruzstriping.com,3/30/14,"Buildings, Structures and Components Consulting,"
,,,,,,"Construction Consulting,"
,,,,,,"Construction Management Services,"
,,,,,,"Project Management Services,"
,,,,,,"Cost Estimating,"
,,,,,,"Program/Project Development and Management Services,"
,,,,,,Installation and Removal Services (Not Otherwise Classified)
Management Solutions Associates,Limited Liability Corporation,"ROB, DZE, DBE, SBE, LBE",Active,eetienne@msadc.com,12/5/14,"Project Management,"
,,,,,,"Project Management,"
,,,,,,"Computer Software Consulting,"
,,,,,,"CONSULTING SERVICES RELATED TO THE IMPLEMENTATION OF SOFTWARE,"
,,,,,,"Consulting Services (Not Otherwise Classified),"
,,,,,,"Management Consulting,"
,,,,,,"Strategic Technology Planning and Consulting Services,"
,,,,,,"Project Management Services,"
,,,,,,Program/Project Development and Management Services
Norman Smith Architecture,Sole Proprietorship,"DZE, SBE, LBE",Active,ccobb@taurusdev.com,2/21/15,"Architect Services, Professional,"
,,,,,,"Buildings - Architectural Design,"
,,,,,,"General Construction - Architectural,"
,,,,,,"Models of Layouts and Buildings to Scale, Architectural,"
,,,,,,"Architectural Services, Non-Licensed (Not Otherwise Classified),"
,,,,,,"Designing Services,"
,,,,,,"Architectural Consulting,"
,,,,,,"Buildings, Structures and Components Consulting,"
,,,,,,"Consulting Services (Not Otherwise Classified),"
,,,,,,Project Management Services
"Agility Construction, LLC",Limited Liability Corporation,"DZE, SBE, LBE",Active,sshifflett@agilityconstruction.com,4/3/15,"LUMBER, CCA TREATED, YELLOW PINE, NO. 2, .040 TREATMENT NO. 2 AND BETTER,"
,,,,,,"Building Construction, Residential (Apartments, etc.),"
,,,,,,"Building Construction (Not Otherwise Classified),"
,,,,,,"Doors and Windows,"
,,,,,,"Thermal and Moisture Protection Services,"
,,,,,,"Carpentry Maintenance and Repair Services,"
